CL.1d	CL.1d.exp	CL.3d	CL.3d.exp	AH.1d	AH.1d.exp	AH.3d	AH.3d.exp	CH.1d	CH.1d.exp	CH.3d	CH.3d.exp	Met	M12	M13	M14	M15	M21	M24	M25
K01823	-0.293144474	K06711	0.474259375	K00933	-1.142614751	K01712	-0.494086591	K14325	1.018206565	NA	NA	K09436	NA	K09093	NA	NA	K10380	NA	K22804
K01841	-0.287439703	K06775	-0.630063337	K00939	0.868659809	K01755	-0.369691651	K14328	-0.747357625	NA	NA	K07380	NA	K14297	NA	NA	K22816	NA	K22900
K01870	-0.23440247	K06775	-0.586044906	K00940	-0.251557033	K01772	-0.389704784	K14546	-0.515209172	NA	NA	K06238	NA	K15502	NA	NA	K04460	NA	K22940
K01900	-0.220686483	K06794	-0.259229044	K00942	0.689921049	K01772	-0.294878128	K14803	-0.456842288	NA	NA	K15837	NA	K11657	NA	NA	K19521	NA	K22941
K01900	-0.194568167	K06841	0.508507291	K00949	-0.495910497	K01802	-0.654819386	K14816	-0.570286942	NA	NA	K04658	NA	K11765	NA	NA	NA	NA	K23234
K01904	0.482359592	K06959	0.537245711	K00962	-0.503913878	K01823	-0.357042814	K14966	0.777079413	NA	NA	K22017	NA	K11765	NA	NA	NA	NA	K23336
K01950	0.493168158	K06963	0.793647151	K00966	-0.479881499	K01870	-0.32867771	K15162	0.580997307	NA	NA	K17566	NA	K23215	NA	NA	NA	NA	K23539
K01953	-0.336374223	K06989	-0.378263053	K00972	0.269570695	K01900	-0.248135729	K15162	0.899435684	NA	NA	K11182	NA	K03010	NA	NA	NA	NA	K23730
K02105	-0.221490013	K07047	-0.962900554	K00993	-0.766651367	K01904	0.535888705	K15613	0.859918675	NA	NA	K09452	NA	K04427	NA	NA	NA	NA	NA
K02127	-0.44821868	K07190	0.613817181	K00995	0.587472783	K01922	-0.26657823	K15685	0.774323029	NA	NA	K09317	NA	K12828	NA	NA	NA	NA	NA
K02128	-0.567955386	K07203	0.74295025	K01001	-0.415714492	K01930	-0.517966803	K15710	1.163163493	NA	NA	K19490	NA	K10730	NA	NA	NA	NA	NA
K02128	-0.52915925	K07375	0.46885603	K01008	-0.405478415	K01937	-0.937137178	K16353	0.767969344	NA	NA	K01077	NA	K10730	NA	NA	NA	NA	NA
K02134	-0.673309451	K07532	0.825742704	K01011	-0.53588369	K01937	-0.803575054	K16353	1.144481078	NA	NA	K08202	NA	K03163	NA	NA	NA	NA	NA
K02134	-0.50586089	K07808	-0.283703853	K01019	0.414873209	K01953	-0.382614926	K16474	-0.88468186	NA	NA	K14638	NA	K11421	NA	NA	NA	NA	NA
K02136	-0.43892115	K07901	0.337377879	K01027	-0.319537218	K01966	0.495814597	K16602	0.689946856	NA	NA	K22038	NA	K11423	NA	NA	NA	NA	NA
K02138	-0.560788598	K07917	0.790604642	K01050	-0.383925878	K01966	0.518292118	K16726	0.820116915	NA	NA	K06795	NA	K10380	NA	NA	NA	NA	NA
K02151	-0.489513126	K07984	0.558548293	K01052	-0.565038385	K01969	-0.32080678	K16726	1.151054239	NA	NA	K23790	NA	K10380	NA	NA	NA	NA	NA
K02155	-0.508070899	K07989	0.741280794	K01052	-0.357145889	K02105	-0.282761879	K16726	1.164112424	NA	NA	K04615	NA	K11422	NA	NA	NA	NA	NA
K02157	0.539427535	K08024	-0.440135327	K01054	-0.566513183	K02128	-0.491728035	K17307	-0.567217638	NA	NA	K04150	NA	K11421	NA	NA	NA	NA	NA
K02163	-0.611080723	K08136	-0.677227431	K01056	-0.556598034	K02128	-0.442337166	K17341	0.912111448	NA	NA	K05111	NA	K10395	NA	NA	NA	NA	NA
K02183	-0.614137379	K08149	-0.38702161	K01061	-0.495639217	K02136	-0.461532557	K17341	1.015898623	NA	NA	K19006	NA	K13194	NA	NA	NA	NA	NA
K02263	-0.482199352	K08150	-0.38228519	K01070	-0.404690295	K02146	-0.264024984	K17341	2.088111722	NA	NA	K14391	NA	K14571	NA	NA	NA	NA	NA
K02265	-0.572676224	K08187	-0.501744511	K01077	0.578616429	K02180	-0.301929249	K17509	0.697548627	NA	NA	K16819	NA	K12619	NA	NA	NA	NA	NA
K02267	-0.542027684	K08187	-0.426344776	K01080	0.310160407	K02183	-0.672899289	K17529	-0.736815399	NA	NA	K20795	NA	K03002	NA	NA	NA	NA	NA
K02270	-0.511921018	K08187	-0.394426497	K01081	0.772904496	K02184	0.674042488	K17535	-0.529032434	NA	NA	K06255	NA	K14966	NA	NA	NA	NA	NA
