Name,moduleColors,moduleID,GS.inf,GS.temp,GS.time,GS.met_Y
aug_v2a.16692,magenta,M13,-0.089985075,0.85479025,-0.310608291,-0.193978797
aug_v2a.16695,blue,M11,0.221888548,-0.49216549,0.085184699,-0.151994565
aug_v2a.16696,pink,M19,0.469560947,0.192953339,0.387929215,0.473342335
aug_v2a.16699,grey60,M4,0.024547625,-0.392926416,0.252092375,0.256913352
aug_v2a.16700,grey,M26,-0.027506034,-0.112957598,0.077940341,-0.038921069
aug_v2a.16701,yellow,M12,-0.215309342,-0.187528953,-0.049625869,-0.11095294
aug_v2a.16702,turquoise,M20,0.195262096,0.23132172,0.078855853,0.187143542
aug_v2a.16707,green,M18,0.394736723,-0.025976604,0.513201481,0.413228966
aug_v2a.02422,grey,M26,-0.43126343,0.226330713,0.235191928,0.291665622
aug_v2a.02423,brown,M21,0.074669104,0.428391058,-0.550663905,-0.203598101
aug_v2a.02424,yellow,M12,-0.461442374,-0.310451038,-0.368515581,-0.430561675
aug_v2a.02425,yellow,M12,-0.326135458,-0.428620501,-0.402090341,-0.385718697
aug_v2a.02427,brown,M21,0.136880688,0.629113028,-0.137193245,-0.016961021
aug_v2a.02428,darkgreen,M16,-0.281879223,0.185292412,-0.514770486,-0.244526785
aug_v2a.16712,midnightblue,M17,-0.236898178,-0.707179492,-0.268359517,-0.376139337
aug_v2a.16714,red,M10,-0.265690236,-0.572819156,0.23398184,0.069366985
aug_v2a.16715,red,M10,-0.418527652,0.082059934,0.245973116,0.216317109
aug_v2a.02429,turquoise,M20,0.27786268,0.447579931,0.038399641,0.203966171
aug_v2a.16720,blue,M11,-0.287942894,-0.651785041,-0.008503121,-0.181487849
aug_v2a.16721,brown,M21,-0.346329629,0.322583071,-0.119024473,-0.374826093
aug_v2a.16723,brown,M21,0.038227536,0.409047421,-0.203461639,0.038199698
aug_v2a.16724,blue,M11,-0.177381392,-0.879320816,-0.053467465,-0.207301619
aug_v2a.16725,greenyellow,M15,0.024415844,0.245417962,-0.4996202,-0.262086305
aug_v2a.16726,cyan,M2,-0.103221446,-0.056962211,-0.344264479,-0.222711611
aug_v2a.16727,grey,M26,-0.186225246,0.23327734,0.002522996,-0.025509842
aug_v2a.16730,blue,M11,-0.413140143,-0.690330754,0.304531453,0.109094015
aug_v2a.16731,tan,M25,0.332836106,0.318570593,-0.260836739,-0.104604941
aug_v2a.02431,turquoise,M20,0.422881254,0.314432082,0.131868887,0.29492903
aug_v2a.02432,grey,M26,-0.106199897,-0.098550244,0.002903505,-0.036084938
aug_v2a.02433,blue,M11,-0.110618922,-0.321929495,-0.020117342,-0.214925604
aug_v2a.16732,grey,M26,0.029876057,0.00204648,-0.057383465,-0.21737217
